id,value
Bacteroidetes.Prevotella.Prevotella_enoeca,0.0
Bacteroidetes.Prevotella.Prevotella_fusca,0.0
Bacteroidetes.Prevotella.Prevotella_histicola,98.0
Bacteroidetes.Prevotella.Prevotella_intermedia,0.0
Bacteroidetes.Prevotella.Prevotella_jejuni,0.0
Bacteroidetes.Prevotella.Prevotella_loescheii,0.0
Bacteroidetes.Prevotella.Prevotella_maculosa,0.0
Bacteroidetes.Prevotella.Prevotella_marshii,0.0
Bacteroidetes.Prevotella.Prevotella_melaninogenica,1458.0
Bacteroidetes.Prevotella.Prevotella_micans,0.0
Bacteroidetes.Prevotella.Prevotella_multiformis,0.0
Bacteroidetes.Prevotella.Prevotella_multisaccharivorax,0.0
Bacteroidetes.Prevotella.Prevotella_nigrescens,0.0
Bacteroidetes.Prevotella.Prevotella_oralis,0.0
Bacteroidetes.Prevotella.Prevotella_oris,0.0
Bacteroidetes.Prevotella.Prevotella_oulorum,0.0
Bacteroidetes.Prevotella.Prevotella_pallens,0.0
Bacteroidetes.Prevotella.Prevotella_pleuritidis,0.0
Bacteroidetes.Prevotella.Prevotella_saccharolytica,0.0
Bacteroidetes.Prevotella.Prevotella_salivae,0.0
Bacteroidetes.Prevotella.Prevotella_scopos,0.0
Bacteroidetes.Prevotella.Prevotella_shahii,0.0
Bacteroidetes.Prevotella.Prevotella_sp_885,0.0
Bacteroidetes.Prevotella.Prevotella_sp_AM42_24,0.0
Bacteroidetes.Prevotella.Prevotella_sp_CAG_1092,0.0
Bacteroidetes.Prevotella.Prevotella_sp_CAG_279,0.0
Bacteroidetes.Prevotella.Prevotella_sp_CAG_520,0.0
Bacteroidetes.Prevotella.Prevotella_sp_CAG_5226,0.0
Bacteroidetes.Prevotella.Prevotella_sp_CAG_873,0.0
Bacteroidetes.Prevotella.Prevotella_sp_F0091,0.0
Bacteroidetes.Prevotella.Prevotella_sp_oral_taxon_299,0.0
Bacteroidetes.Prevotella.Prevotella_sp_oral_taxon_306,0.0
Bacteroidetes.Prevotella.Prevotella_sp_oral_taxon_376,0.0
Bacteroidetes.Prevotella.Prevotella_sp_oral_taxon_820,0.0
Bacteroidetes.Prevotella.Prevotella_stercorea,0.0
Bacteroidetes.Prevotella.Prevotella_timonensis,0.0
Bacteroidetes.Prevotella.Prevotella_veroralis,0.0
Bacteroidetes.Alistipes.Alistipes_finegoldii,184.0
Bacteroidetes.Alistipes.Alistipes_indistinctus,0.0
Bacteroidetes.Alistipes.Alistipes_inops,0.0
Bacteroidetes.Alistipes.Alistipes_onderdonkii,0.0
Bacteroidetes.Alistipes.Alistipes_putredinis,25047.000000000004
Bacteroidetes.Alistipes.Alistipes_shahii,1557.0
Bacteroidetes.Alistipes.Alistipes_sp_An31A,0.0
Bacteroidetes.Alistipes.Alistipes_timonensis,0.0
Bacteroidetes.Parabacteroides.Parabacteroides_distasonis,3435.0
Bacteroidetes.Parabacteroides.Parabacteroides_goldsteinii,0.0
Bacteroidetes.Parabacteroides.Parabacteroides_gordonii,0.0
Bacteroidetes.Parabacteroides.Parabacteroides_johnsonii,0.0
Bacteroidetes.Parabacteroides.Parabacteroides_merdae,965.0000000000001
Bacteroidetes.Parabacteroides.Parabacteroides_sp_CAG_409,0.0
Bacteroidetes.Tannerella.Tannerella_forsythia,0.0
Bacteroidetes.Tannerella.Tannerella_sp_oral_taxon_808,0.0
Bacteroidetes.Tannerella.Tannerella_sp_oral_taxon_HOT_286,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_gingivalis,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_granulosa,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_haemolytica,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_leadbetteri,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_ochracea,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_sp_oral_taxon_332,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_sp_oral_taxon_338,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_sp_oral_taxon_863,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_sp_oral_taxon_878,0.0
Bacteroidetes.Capnocytophaga.Capnocytophaga_sputigena,0.0
Chloroflexi.Anaerolineaceae_unclassified.Anaerolineaceae_bacterium_oral_taxon_439,0.0
Deinococcus-Thermus.Deinococcus.Deinococcus_swuensis,0.0
Firmicutes.Bacillus.Bacillus_aerius,0.0
Firmicutes.Gemella.Gemella_bergeri,0.0
Firmicutes.Gemella.Gemella_haemolysans,127.00000000000001
Firmicutes.Gemella.Gemella_morbillorum,0.0
Firmicutes.Gemella.Gemella_sanguinis,0.0
Firmicutes.Abiotrophia.Abiotrophia_defectiva,0.0
Firmicutes.Abiotrophia.Abiotrophia_sp_HMSC24B09,0.0
Firmicutes.Granulicatella.Granulicatella_adiacens,0.0
Firmicutes.Granulicatella.Granulicatella_elegans,0.0
Firmicutes.Enterococcus.Enterococcus_durans,0.0
Firmicutes.Enterococcus.Enterococcus_faecalis,0.0
Firmicutes.Enterococcus.Enterococcus_faecium,0.0
Firmicutes.Lactobacillus.Lactobacillus_brevis,0.0
Firmicutes.Lactobacillus.Lactobacillus_curvatus,0.0
Firmicutes.Lactobacillus.Lactobacillus_delbrueckii,19432.0
Firmicutes.Lactobacillus.Lactobacillus_fermentum,0.0
Firmicutes.Lactobacillus.Lactobacillus_gasseri,0.0
Firmicutes.Lactobacillus.Lactobacillus_gastricus,0.0
Firmicutes.Lactobacillus.Lactobacillus_helveticus,0.0
Firmicutes.Lactobacillus.Lactobacillus_kefiranofaciens,0.0
Firmicutes.Lactobacillus.Lactobacillus_kefiri,0.0
Firmicutes.Lactobacillus.Lactobacillus_mucosae,0.0
Firmicutes.Lactobacillus.Lactobacillus_oris,0.0
Firmicutes.Lactobacillus.Lactobacillus_paragasseri,0.0
Firmicutes.Lactobacillus.Lactobacillus_paralimentarius,0.0
Firmicutes.Lactobacillus.Lactobacillus_plantarum,0.0
Firmicutes.Lactobacillus.Lactobacillus_rogosae,6772.0
Firmicutes.Lactobacillus.Lactobacillus_ruminis,0.0
Firmicutes.Lactobacillus.Lactobacillus_sakei,0.0
Firmicutes.Lactobacillus.Lactobacillus_zymae,0.0
Firmicutes.Pediococcus.Pediococcus_acidilactici,0.0
Firmicutes.Pediococcus.Pediococcus_sp,0.0
Firmicutes.Leuconostoc.Leuconostoc_gelidum,0.0
Firmicutes.Leuconostoc.Leuconostoc_mesenteroides,1813.0
Firmicutes.Weissella.Weissella_cibaria,0.0
Firmicutes.Weissella.Weissella_confusa,0.0
Firmicutes.Lactococcus.Lactococcus_lactis,1425.0
Firmicutes.Lactococcus.Lactococcus_petauri,0.0
Firmicutes.Lactococcus.Lactococcus_piscium,0.0
Firmicutes.Lactococcus.Lactococcus_raffinolactis,2237.0
Firmicutes.Streptococcus.Streptococcus_agalactiae,0.0
Firmicutes.Streptococcus.Streptococcus_anginosus_group,0.0
Firmicutes.Streptococcus.Streptococcus_australis,443.0
Firmicutes.Streptococcus.Streptococcus_cristatus,116.0
Firmicutes.Streptococcus.Streptococcus_gordonii,689.0
Firmicutes.Streptococcus.Streptococcus_infantarius,0.0
Firmicutes.Streptococcus.Streptococcus_infantis,2847.0
Firmicutes.Streptococcus.Streptococcus_lutetiensis,0.0
Firmicutes.Streptococcus.Streptococcus_macedonicus,0.0
Firmicutes.Streptococcus.Streptococcus_milleri,0.0
Firmicutes.Streptococcus.Streptococcus_mitis,6911.000000000001
Firmicutes.Streptococcus.Streptococcus_oralis,1351.0
Firmicutes.Streptococcus.Streptococcus_parasanguinis,0.0
Firmicutes.Streptococcus.Streptococcus_parauberis,0.0
Firmicutes.Streptococcus.Streptococcus_pasteurianus,0.0
Firmicutes.Streptococcus.Streptococcus_peroris,0.0
Firmicutes.Streptococcus.Streptococcus_pseudopneumoniae,0.0
Firmicutes.Streptococcus.Streptococcus_salivarius,3107.0
Firmicutes.Streptococcus.Streptococcus_salivarius_CAG_79,0.0
Firmicutes.Streptococcus.Streptococcus_sanguinis,447.99999999999994
Firmicutes.Streptococcus.Streptococcus_sinensis,0.0
Firmicutes.Streptococcus.Streptococcus_sp_A12,0.0
Firmicutes.Streptococcus.Streptococcus_sp_F0442,264.0
Firmicutes.Streptococcus.Streptococcus_sp_HMSC034E03,0.0
Firmicutes.Streptococcus.Streptococcus_sp_HMSC067H01,0.0
Firmicutes.Streptococcus.Streptococcus_sp_HMSC070B10,0.0
Firmicutes.Streptococcus.Streptococcus_sp_HMSC071D03,0.0
Firmicutes.Streptococcus.Streptococcus_sp_HPH0090,0.0
Firmicutes.Streptococcus.Streptococcus_sp_M334,0.0
Firmicutes.Streptococcus.Streptococcus_sp_NLAE_zl_C503,0.0
Firmicutes.Streptococcus.Streptococcus_sp_SK643,0.0
Firmicutes.Streptococcus.Streptococcus_sp_oral_taxon_056,0.0
Firmicutes.Streptococcus.Streptococcus_sp_oral_taxon_058,0.0
Firmicutes.Streptococcus.Streptococcus_thermophilus,54523.99999999999
Firmicutes.Streptococcus.Streptococcus_vestibularis,0.0
Firmicutes.Streptococcus.Streptococcus_viridans,0.0
Firmicutes.Christensenella.Christensenella_minuta,0.0
Firmicutes.Butyricicoccus.Butyricicoccus_pullicaecorum,0.0
Firmicutes.Clostridium.Clostridium_bolteae_CAG_59,0.0
Firmicutes.Clostridium.Clostridium_celatum,0.0
Firmicutes.Clostridium.Clostridium_disporicum,0.0
Firmicutes.Clostridium.Clostridium_paraputrificum,0.0
Firmicutes.Clostridium.Clostridium_perfringens,0.0
Firmicutes.Clostridium.Clostridium_sp_CAG_167,7388.0
Firmicutes.Clostridium.Clostridium_sp_CAG_242,0.0
Firmicutes.Clostridium.Clostridium_sp_CAG_253,0.0
Firmicutes.Clostridium.Clostridium_sp_CAG_299,0.0
Firmicutes.Clostridium.Clostridium_sp_CAG_413,0.0
Firmicutes.Clostridium.Clostridium_sp_CAG_510,0.0
Firmicutes.Clostridium.Clostridium_sp_CAG_58,481.99999999999994
Firmicutes.Clostridium.Clostridium_sp_CAG_590,0.0
Firmicutes.Clostridium.Clostridium_sp_CAG_632,0.0
Firmicutes.Hungatella.Hungatella_hathewayi,0.0
Firmicutes.Clostridiales_Family_XIII_Incertae_Sedis_unclassified.Eubacterium_brachy,239.00000000000003
Firmicutes.Clostridiales_Family_XIII_Incertae_Sedis_unclassified.Eubacterium_infirmum,0.0
Firmicutes.Clostridiales_Family_XIII_Incertae_Sedis_unclassified.Eubacterium_nodatum,0.0
Firmicutes.Clostridiales_Family_XIII_Incertae_Sedis_unclassified.Eubacterium_saphenum,0.0
Firmicutes.Clostridiales_Family_XIII_Incertae_Sedis_unclassified.Eubacterium_sulci,0.0
Firmicutes.Mogibacterium.Mogibacterium_diversum,0.0
Firmicutes.Mogibacterium.Mogibacterium_timidum,0.0
Firmicutes.Clostridiales_unclassified.Bacteroides_pectinophilus,20929.0
Firmicutes.Clostridiales_unclassified.Clostridiales_bacterium_1_7_47FAA,0.0
Firmicutes.Intestinimonas.Intestinimonas_butyriciproducens,0.0
Firmicutes.Lawsonibacter.Lawsonibacter_asaccharolyticus,1718.0
Firmicutes.Monoglobus.Monoglobus_pectinilyticus,0.0
Firmicutes.Eubacterium.Eubacterium_dolichum_CAG_375,0.0
Firmicutes.Eubacterium.Eubacterium_eligens,55437.0
Firmicutes.Eubacterium.Eubacterium_hallii,3936.0
Firmicutes.Eubacterium.Eubacterium_ramulus,24518.0
